country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
United States,1985,male,75+ years,2177,4064000,53.57,United States1985,0.841,"4,346,734,000,000",19693,G.I. Generation
United States,1985,male,55-74 years,5302,17971000,29.5,United States1985,0.841,"4,346,734,000,000",19693,G.I. Generation
United States,1985,male,25-34 years,5134,20986000,24.46,United States1985,0.841,"4,346,734,000,000",19693,Boomers
United States,1985,male,35-54 years,6053,26589000,22.77,United States1985,0.841,"4,346,734,000,000",19693,Silent
United States,1985,male,15-24 years,4267,19962000,21.38,United States1985,0.841,"4,346,734,000,000",19693,Generation X
United States,1985,female,35-54 years,2105,27763000,7.58,United States1985,0.841,"4,346,734,000,000",19693,Silent
United States,1985,female,55-74 years,1568,21366000,7.34,United States1985,0.841,"4,346,734,000,000",19693,G.I. Generation
United States,1985,female,75+ years,466,7469000,6.24,United States1985,0.841,"4,346,734,000,000",19693,G.I. Generation
United States,1985,female,25-34 years,1242,21041000,5.9,United States1985,0.841,"4,346,734,000,000",19693,Boomers
United States,1985,female,15-24 years,854,19589000,4.36,United States1985,0.841,"4,346,734,000,000",19693,Generation X
United States,1985,male,5-14 years,205,17370000,1.18,United States1985,0.841,"4,346,734,000,000",19693,Generation X
United States,1985,female,5-14 years,73,16553000,0.44,United States1985,0.841,"4,346,734,000,000",19693,Generation X
United States,1990,male,75+ years,2653,4585900,57.85,United States1990,0.8590000000000001,"5,979,589,000,000",26004,G.I. Generation
United States,1990,male,55-74 years,5109,17861900,28.6,United States1990,0.8590000000000001,"5,979,589,000,000",26004,G.I. Generation
United States,1990,male,25-34 years,5339,21564300,24.76,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Boomers
United States,1990,male,35-54 years,7260,30742000,23.62,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Silent
United States,1990,male,15-24 years,4160,18915400,21.99,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Generation X
United States,1990,female,55-74 years,1504,21296300,7.06,United States1990,0.8590000000000001,"5,979,589,000,000",26004,G.I. Generation
United States,1990,female,35-54 years,2175,31749500,6.85,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Silent
United States,1990,female,75+ years,511,8447400,6.05,United States1990,0.8590000000000001,"5,979,589,000,000",26004,G.I. Generation
United States,1990,female,25-34 years,1211,21596400,5.61,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Boomers
United States,1990,female,15-24 years,709,18097900,3.92,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Generation X
United States,1990,male,5-14 years,195,17970800,1.09,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Generation X
United States,1990,female,5-14 years,69,17124400,0.4,United States1990,0.8590000000000001,"5,979,589,000,000",26004,Generation X
United States,1995,male,75+ years,2580,5346600,48.25,United States1995,0.8759999999999999,"7,664,060,000,000",31518,G.I. Generation
United States,1995,male,25-34 years,5234,20432000,25.62,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Generation X
United States,1995,male,55-74 years,4607,18386200,25.06,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Silent
United States,1995,male,35-54 years,8545,36243300,23.58,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Boomers
United States,1995,male,15-24 years,4132,18352000,22.52,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Generation X
United States,1995,female,35-54 years,2454,37303100,6.58,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Boomers
United States,1995,female,75+ years,516,9426600,5.47,United States1995,0.8759999999999999,"7,664,060,000,000",31518,G.I. Generation
United States,1995,female,55-74 years,1157,21504100,5.38,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Silent
United States,1995,female,25-34 years,1058,20441200,5.18,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Generation X
United States,1995,female,15-24 years,652,17594600,3.71,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Generation X
United States,1995,male,5-14 years,260,19528500,1.33,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Millenials
United States,1995,female,5-14 years,77,18606000,0.41,United States1995,0.8759999999999999,"7,664,060,000,000",31518,Millenials
United States,2000,male,75+ years,2589,6106351,42.4,United States2000,0.883,"10,284,779,000,000",39218,G.I. Generation
United States,2000,male,35-54 years,9263,40945028,22.62,United States2000,0.883,"10,284,779,000,000",39218,Boomers
United States,2000,male,55-74 years,4153,19948630,20.82,United States2000,0.883,"10,284,779,000,000",39218,Silent
United States,2000,male,25-34 years,3938,20120529,19.57,United States2000,0.883,"10,284,779,000,000",39218,Generation X
United States,2000,male,15-24 years,3424,20078818,17.05,United States2000,0.883,"10,284,779,000,000",39218,Generation X
United States,2000,female,35-54 years,2736,41881451,6.53,United States2000,0.883,"10,284,779,000,000",39218,Boomers
United States,2000,female,55-74 years,1084,22717040,4.77,United States2000,0.883,"10,284,779,000,000",39218,Silent
United States,2000,female,25-34 years,854,19771195,4.32,United States2000,0.883,"10,284,779,000,000",39218,Generation X
United States,2000,female,75+ years,425,10494416,4.05,United States2000,0.883,"10,284,779,000,000",39218,G.I. Generation
United States,2000,female,15-24 years,570,19105073,2.98,United States2000,0.883,"10,284,779,000,000",39218,Generation X
United States,2000,male,5-14 years,244,21043474,1.16,United States2000,0.883,"10,284,779,000,000",39218,Millenials
United States,2000,female,5-14 years,63,20034103,0.31,United States2000,0.883,"10,284,779,000,000",39218,Millenials
United States,2005,male,75+ years,2610,6883241,37.92,United States2005,0.897,"13,093,726,000,000",47423,Silent
United States,2005,male,35-54 years,10332,42835394,24.12,United States2005,0.897,"13,093,726,000,000",47423,Boomers
United States,2005,male,55-74 years,5190,23156114,22.41,United States2005,0.897,"13,093,726,000,000",47423,Silent
United States,2005,male,25-34 years,4066,20421260,19.91,United States2005,0.897,"13,093,726,000,000",47423,Generation X
United States,2005,male,15-24 years,3498,21647159,16.16,United States2005,0.897,"13,093,726,000,000",47423,Millenials
United States,2005,female,35-54 years,3209,43509335,7.38,United States2005,0.897,"13,093,726,000,000",47423,Boomers
United States,2005,female,55-74 years,1364,25839240,5.28,United States2005,0.897,"13,093,726,000,000",47423,Silent
United States,2005,female,25-34 years,924,19721652,4.69,United States2005,0.897,"13,093,726,000,000",47423,Generation X
United States,2005,female,75+ years,450,11267059,3.99,United States2005,0.897,"13,093,726,000,000",47423,Silent
United States,2005,female,15-24 years,714,20429690,3.49,United States2005,0.897,"13,093,726,000,000",47423,Millenials
United States,2005,male,5-14 years,204,20675232,0.99,United States2005,0.897,"13,093,726,000,000",47423,Millenials
United States,2005,female,5-14 years,68,19721304,0.34,United States2005,0.897,"13,093,726,000,000",47423,Millenials
United States,2010,male,75+ years,2617,7263596,36.03,United States2010,0.909,"14,964,372,000,000",51989,Silent
United States,2010,male,35-54 years,11767,42798501,27.49,United States2010,0.909,"14,964,372,000,000",51989,Generation X
United States,2010,male,55-74 years,7287,27667895,26.34,United States2010,0.909,"14,964,372,000,000",51989,Silent
United States,2010,male,25-34 years,4645,20409866,22.76,United States2010,0.909,"14,964,372,000,000",51989,Generation X
United States,2010,male,15-24 years,3772,22463069,16.79,United States2010,0.909,"14,964,372,000,000",51989,Millenials
United States,2010,female,35-54 years,3604,42711237,8.44,United States2010,0.909,"14,964,372,000,000",51989,Generation X
United States,2010,female,55-74 years,2071,30326595,6.83,United States2010,0.909,"14,964,372,000,000",51989,Silent
United States,2010,female,25-34 years,1092,20180858,5.41,United States2010,0.909,"14,964,372,000,000",51989,Generation X
United States,2010,female,15-24 years,830,21395712,3.88,United States2010,0.909,"14,964,372,000,000",51989,Millenials
United States,2010,female,75+ years,403,11163521,3.61,United States2010,0.909,"14,964,372,000,000",51989,Silent
United States,2010,male,5-14 years,187,21207667,0.88,United States2010,0.909,"14,964,372,000,000",51989,Generation Z
United States,2010,female,5-14 years,87,20250632,0.43,United States2010,0.909,"14,964,372,000,000",51989,Generation Z
United States,2011,male,75+ years,2721,7448796,36.53,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Silent
United States,2011,male,35-54 years,11681,42566273,27.44,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Generation X
United States,2011,male,55-74 years,7572,28556351,26.52,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Boomers
United States,2011,male,25-34 years,4862,20698307,23.49,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Millenials
United States,2011,male,15-24 years,3959,22622559,17.5,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Millenials
United States,2011,female,35-54 years,3776,42485156,8.89,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Generation X
United States,2011,female,55-74 years,2128,31268702,6.81,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Boomers
United States,2011,female,25-34 years,1238,20408037,6.07,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Millenials
United States,2011,female,15-24 years,863,21552069,4.0,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Millenials
United States,2011,female,75+ years,421,11270969,3.74,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Silent
United States,2011,male,5-14 years,201,21185153,0.95,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Generation Z
United States,2011,female,5-14 years,86,20251453,0.42,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Generation Z
United States,2012,male,75+ years,2853,7633574,37.37,United States2012,0.912,"16,155,255,000,000",55170,Silent
United States,2012,male,35-54 years,11763,42326226,27.79,United States2012,0.912,"16,155,255,000,000",55170,Generation X
United States,2012,male,55-74 years,8032,29473157,27.25,United States2012,0.912,"16,155,255,000,000",55170,Boomers
United States,2012,male,25-34 years,4985,21028158,23.71,United States2012,0.912,"16,155,255,000,000",55170,Millenials
United States,2012,male,15-24 years,3918,22713083,17.25,United States2012,0.912,"16,155,255,000,000",55170,Millenials
United States,2012,female,35-54 years,3857,42238495,9.13,United States2012,0.912,"16,155,255,000,000",55170,Generation X
United States,2012,female,55-74 years,2264,32244829,7.02,United States2012,0.912,"16,155,255,000,000",55170,Boomers
United States,2012,female,25-34 years,1231,20667924,5.96,United States2012,0.912,"16,155,255,000,000",55170,Millenials
United States,2012,female,15-24 years,954,21653970,4.41,United States2012,0.912,"16,155,255,000,000",55170,Millenials
United States,2012,female,75+ years,428,11375645,3.76,United States2012,0.912,"16,155,255,000,000",55170,Silent
United States,2012,male,5-14 years,226,21198150,1.07,United States2012,0.912,"16,155,255,000,000",55170,Generation Z
United States,2012,female,5-14 years,85,20273917,0.42,United States2012,0.912,"16,155,255,000,000",55170,Generation Z
United States,2013,male,75+ years,2990,7816638,38.25,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Silent
United States,2013,male,55-74 years,8445,30405404,27.77,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Boomers
United States,2013,male,35-54 years,11396,42085688,27.08,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Generation X
United States,2013,male,25-34 years,5063,21386891,23.67,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Millenials
United States,2013,male,15-24 years,3903,22735631,17.17,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Millenials
United States,2013,female,35-54 years,3776,41983845,8.99,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Generation X
United States,2013,female,55-74 years,2484,33229667,7.48,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Boomers
United States,2013,female,25-34 years,1285,20951958,6.13,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Millenials
United States,2013,female,15-24 years,975,21698877,4.49,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Millenials
United States,2013,female,75+ years,431,11486590,3.75,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Silent
United States,2013,male,5-14 years,252,21233001,1.19,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Generation Z
United States,2013,female,5-14 years,143,20308672,0.7,United States2013,0.9129999999999999,"16,691,517,000,000",56520,Generation Z
United States,2014,male,75+ years,3106,7994948,38.85,United States2014,0.915,"17,427,609,000,000",58531,Silent
United States,2014,male,55-74 years,8961,31339875,28.59,United States2014,0.915,"17,427,609,000,000",58531,Boomers
United States,2014,male,35-54 years,11455,41858354,27.37,United States2014,0.915,"17,427,609,000,000",58531,Generation X
United States,2014,male,25-34 years,5222,21760455,24.0,United States2014,0.915,"17,427,609,000,000",58531,Millenials
United States,2014,male,15-24 years,4089,22700273,18.01,United States2014,0.915,"17,427,609,000,000",58531,Millenials
United States,2014,female,35-54 years,4018,41742299,9.63,United States2014,0.915,"17,427,609,000,000",58531,Generation X
United States,2014,female,55-74 years,2676,34193742,7.83,United States2014,0.915,"17,427,609,000,000",58531,Boomers
United States,2014,female,25-34 years,1347,21250636,6.34,United States2014,0.915,"17,427,609,000,000",58531,Millenials
United States,2014,female,15-24 years,990,21691057,4.56,United States2014,0.915,"17,427,609,000,000",58531,Millenials
United States,2014,female,75+ years,477,11616299,4.11,United States2014,0.915,"17,427,609,000,000",58531,Silent
United States,2014,male,5-14 years,277,21264881,1.3,United States2014,0.915,"17,427,609,000,000",58531,Generation Z
United States,2014,female,5-14 years,151,20336916,0.74,United States2014,0.915,"17,427,609,000,000",58531,Generation Z
United States,1986,male,75+ years,2340,4178000,56.01,United States1986,,"4,590,155,000,000",20588,G.I. Generation
United States,1986,male,55-74 years,5500,18101000,30.39,United States1986,,"4,590,155,000,000",20588,G.I. Generation
United States,1986,male,25-34 years,5450,21393000,25.48,United States1986,,"4,590,155,000,000",20588,Boomers
United States,1986,male,35-54 years,6450,27363000,23.57,United States1986,,"4,590,155,000,000",20588,Silent
United States,1986,male,15-24 years,4276,19715000,21.69,United States1986,,"4,590,155,000,000",20588,Generation X
United States,1986,female,35-54 years,2299,28520000,8.06,United States1986,,"4,590,155,000,000",20588,Silent
United States,1986,female,55-74 years,1696,21455000,7.9,United States1986,,"4,590,155,000,000",20588,G.I. Generation
United States,1986,female,75+ years,521,7669000,6.79,United States1986,,"4,590,155,000,000",20588,G.I. Generation
United States,1986,female,25-34 years,1261,21391000,5.9,United States1986,,"4,590,155,000,000",20588,Boomers
United States,1986,female,15-24 years,844,19313000,4.37,United States1986,,"4,590,155,000,000",20588,Generation X
United States,1986,male,5-14 years,199,17338000,1.15,United States1986,,"4,590,155,000,000",20588,Generation X
United States,1986,female,5-14 years,56,16517000,0.34,United States1986,,"4,590,155,000,000",20588,Generation X
United States,1987,male,75+ years,2532,4295000,58.95,United States1987,,"4,870,217,000,000",21631,G.I. Generation
United States,1987,male,55-74 years,5482,18190000,30.14,United States1987,,"4,870,217,000,000",21631,G.I. Generation
United States,1987,male,25-34 years,5370,21670000,24.78,United States1987,,"4,870,217,000,000",21631,Boomers
United States,1987,male,35-54 years,6569,28222000,23.28,United States1987,,"4,870,217,000,000",21631,Silent
United States,1987,male,15-24 years,4109,19327000,21.26,United States1987,,"4,870,217,000,000",21631,Generation X
United States,1987,female,35-54 years,2270,29359000,7.73,United States1987,,"4,870,217,000,000",21631,Silent
United States,1987,female,55-74 years,1596,21497000,7.42,United States1987,,"4,870,217,000,000",21631,G.I. Generation
United States,1987,female,75+ years,504,7872000,6.4,United States1987,,"4,870,217,000,000",21631,G.I. Generation
United States,1987,female,25-34 years,1285,21645000,5.94,United States1987,,"4,870,217,000,000",21631,Boomers
United States,1987,female,15-24 years,815,18925000,4.31,United States1987,,"4,870,217,000,000",21631,Generation X
United States,1987,male,5-14 years,199,17486000,1.14,United States1987,,"4,870,217,000,000",21631,Generation X
United States,1987,female,5-14 years,52,16660000,0.31,United States1987,,"4,870,217,000,000",21631,Generation X
United States,1988,male,75+ years,2548,4409000,57.79,United States1988,,"5,252,629,000,000",23103,G.I. Generation
United States,1988,male,55-74 years,5198,18235000,28.51,United States1988,,"5,252,629,000,000",23103,G.I. Generation
United States,1988,male,25-34 years,5463,21853000,25.0,United States1988,,"5,252,629,000,000",23103,Boomers
United States,1988,male,35-54 years,6528,29147000,22.4,United States1988,,"5,252,629,000,000",23103,Silent
United States,1988,male,15-24 years,4143,18897000,21.92,United States1988,,"5,252,629,000,000",23103,Generation X
United States,1988,female,35-54 years,2209,30281000,7.3,United States1988,,"5,252,629,000,000",23103,Silent
United States,1988,female,55-74 years,1504,21491000,7.0,United States1988,,"5,252,629,000,000",23103,G.I. Generation
United States,1988,female,75+ years,519,8062000,6.44,United States1988,,"5,252,629,000,000",23103,G.I. Generation
United States,1988,female,25-34 years,1247,21822000,5.71,United States1988,,"5,252,629,000,000",23103,Boomers
United States,1988,female,15-24 years,786,18501000,4.25,United States1988,,"5,252,629,000,000",23103,Generation X
United States,1988,male,5-14 years,181,17751000,1.02,United States1988,,"5,252,629,000,000",23103,Generation X
United States,1988,female,5-14 years,62,16904000,0.37,United States1988,,"5,252,629,000,000",23103,Generation X
United States,1989,male,75+ years,2462,4541000,54.22,United States1989,,"5,657,693,000,000",24654,G.I. Generation
United States,1989,male,55-74 years,5185,18295000,28.34,United States1989,,"5,657,693,000,000",24654,G.I. Generation
United States,1989,male,25-34 years,5339,21943000,24.33,United States1989,,"5,657,693,000,000",24654,Boomers
United States,1989,male,35-54 years,6814,30135000,22.61,United States1989,,"5,657,693,000,000",24654,Silent
United States,1989,male,15-24 years,4106,18459000,22.24,United States1989,,"5,657,693,000,000",24654,Generation X
United States,1989,female,35-54 years,2159,31264000,6.91,United States1989,,"5,657,693,000,000",24654,Silent
United States,1989,female,55-74 years,1432,21480000,6.67,United States1989,,"5,657,693,000,000",24654,G.I. Generation
United States,1989,female,75+ years,491,8262000,5.94,United States1989,,"5,657,693,000,000",24654,G.I. Generation
United States,1989,female,25-34 years,1226,21892000,5.6,United States1989,,"5,657,693,000,000",24654,Boomers
United States,1989,female,15-24 years,764,18055000,4.23,United States1989,,"5,657,693,000,000",24654,Generation X
United States,1989,male,5-14 years,184,18010000,1.02,United States1989,,"5,657,693,000,000",24654,Generation X
United States,1989,female,5-14 years,56,17151000,0.33,United States1989,,"5,657,693,000,000",24654,Generation X
United States,1991,male,75+ years,2673,4769000,56.05,United States1991,0.861,"6,174,043,000,000",26503,G.I. Generation
United States,1991,male,55-74 years,4983,17954000,27.75,United States1991,0.861,"6,174,043,000,000",26503,Silent
United States,1991,male,25-34 years,5361,21427000,25.02,United States1991,0.861,"6,174,043,000,000",26503,Boomers
